主要區域 Broad Area,小規劃統計區 TPU,2019,2020,2021,2022,2023,2024,2025
新界 New Territories,627,35700,35100,35200,35200,35000,35000,36900
新界 New Territories,628,84400,83400,86300,86200,85700,85500,88400
新界 New Territories,629,1100,1100,1100,1100,1100,1100,1100
新界 New Territories,631 & 633,12500,12300,12400,12400,12200,12100,12000
新界 New Territories,634,16400,16400,16500,48200,49400,49700,49900
新界 New Territories,642,3500,3500,3600,3600,3600,3700,3700
新界 New Territories,"651, 652 & 653",10800,11000,11300,11400,11400,11500,11500
新界 New Territories,"711, 712, 721 & 728",16700,16600,16900,17000,16800,16800,16700
新界 New Territories,720,4300,4200,4200,4100,4000,4000,3900
新界 New Territories,722 & 727,51400,50800,50900,52400,64700,69100,68900
新界 New Territories,723,76200,74900,74800,74100,73100,72500,71600
新界 New Territories,724,10200,10400,10600,10700,10700,10800,10900
新界 New Territories,725,6600,6500,8600,10700,11500,11400,11200
新界 New Territories,726,97900,97000,97100,96700,95900,95500,94700
新界 New Territories,729,19800,24500,33400,37500,38100,40000,41400
新界 New Territories,"731, 733 & 754",64200,63600,63800,63600,63000,62700,62100
新界 New Territories,"732, 751 & 753",47700,48900,63800,63700,65500,67000,66800
新界 New Territories,"741, 742, 743 & 744",7800,7700,8100,8200,10100,12800,14500
新界 New Territories,755,88000,87100,87400,87300,87000,87000,86700
新界 New Territories,"756, 761 & 762",109100,109900,110100,109900,110500,110100,109000
新界 New Territories,757,215800,214000,217900,217700,221400,220600,218900
新界 New Territories,758,47800,47300,47000,46600,46000,45600,45000
新界 New Territories,759,126500,124900,124900,125800,129300,130600,129500
新界 New Territories,"811, 812, 813, 814 & 815",3100,2900,3000,3000,2900,3000,3000
新界 New Territories,820,7000,6800,6900,6800,6800,6900,6900
新界 New Territories,821,1200,1100,1100,1100,1100,1100,1100
新界 New Territories,822,6500,6300,6400,6400,6300,6300,6300
新界 New Territories,823,4300,4200,4200,4200,4100,4100,4100
新界 New Territories,824 & 829,2800,2700,2700,2700,2700,2700,2600
新界 New Territories,825,3600,3500,3500,3400,3400,3300,3300
新界 New Territories,826 & 828,7400,7400,7400,7300,7200,7200,7100
新界 New Territories,827,3500,3700,3700,3700,3700,3700,3600
新界 New Territories,831,24300,23700,23700,23500,23100,23000,22700
新界 New Territories,832 & 834,3800,3700,3700,3700,3700,3700,3700
新界 New Territories,833,64400,64000,63800,63200,62300,61800,61000
新界 New Territories,835,24100,24000,24200,24200,24200,24800,25000
新界 New Territories,836,86800,85800,85700,85100,84200,83600,82700
新界 New Territories,837,79600,78100,78000,77300,76400,75700,74800
新界 New Territories,838,118400,118400,124800,124200,123100,122300,121200
新界 New Territories,839,34800,39100,46900,58000,66300,70300,78700
新界 New Territories,"911, 912 & 913",6700,6600,6600,6600,6500,6500,6400
新界 New Territories,920,22200,21800,21700,21600,21300,21100,20900
新界 New Territories,931 & 933,3700,3800,3900,4000,4000,4000,4000
新界 New Territories,932 & 934,2600,2500,2500,2600,2500,2600,2600
新界 New Territories,"941, 942 & 943",1600,1500,1500,1500,1600,1600,1600
新界 New Territories,944,3500,3600,3600,3600,3500,3500,3500
新界 New Territories,950 & 951,113700,112400,116500,116600,124900,124700,153300
新界 New Territories,"961, 962 & 963",9300,9100,9200,9100,9000,9000,8900
新界 New Territories,"971, 972, 973 & 974",19800,19600,19600,19500,19100,18900,18600
新界 New Territories,975,15800,15400,15500,15400,15200,15200,15000
新界 New Territories,976,5700,5700,5600,5600,5500,5500,5400
陸上總計 Land Total,,7506200,7480700,7579100,7648900,7696600,7737300,7773700
